AREA_TITLE,OCC_TITLE,O_GROUP,A_MEDIAN,A_PCT10,A_PCT25,A_PCT75,A_PCT90,A_MEAN
Florida,"Court, Municipal, and License Clerks",detailed,47100,36950,40090,56610,61880,49220
Florida,"Credit Authorizers, Checkers, and Clerks",detailed,41810,28390,30110,51970,60100,43240
Florida,Customer Service Representatives,detailed,40440,31620,36400,47860,59770,43950
Florida,"Eligibility Interviewers, Government Programs",detailed,37230,35030,36280,49590,62570,43850
Florida,File Clerks,detailed,41750,31010,36110,47780,56550,42800
Florida,"Hotel, Motel, and Resort Desk Clerks",detailed,35030,30080,31400,37640,44620,36020
Florida,"Interviewers, Except Eligibility and Loan",detailed,43500,28740,37350,47350,59470,43820
Florida,"Library Assistants, Clerical",detailed,37880,29420,35500,40970,45960,38570
Florida,Loan Interviewers and Clerks,detailed,50510,36280,46210,61410,66410,52680
Florida,New Accounts Clerks,detailed,45930,40070,44660,48710,61120,48700
Florida,Order Clerks,detailed,44380,35160,38830,50960,62380,46460
Florida,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,48330,36810,42060,56310,62880,49590
Florida,Receptionists and Information Clerks,detailed,36810,28850,32730,41590,46480,37720
Florida,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,39490,32130,36740,48730,78620,46820
Florida,"Information and Record Clerks, All Other",detailed,48510,37110,40350,56540,63340,49790
Florida,Cargo and Freight Agents,detailed,48520,37990,45910,61560,75610,54740
Florida,Couriers and Messengers,detailed,37740,31100,34380,42190,46270,38510
Florida,Public Safety Telecommunicators,detailed,50170,37060,44990,61270,77820,54750
Florida,"Dispatchers, Except Police, Fire, and Ambulance",detailed,45880,35350,38700,58790,69490,49620
Florida,"Meter Readers, Utilities",detailed,40610,36820,38150,50040,73080,47960
Florida,Postal Service Clerks,detailed,62610,42600,56390,71930,75030,62620
Florida,Postal Service Mail Carriers,detailed,61130,42390,48940,81000,81040,62670
